lstm_0_units,lstm_1_units,lstm_2_units,num_layers,learning_rate,val_loss
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
1,,,1,0.01,46449.12890625
